	Lagrangian mass coordinate (Msun)	Radius coordinate (Rsun)	Luminosity (Lsun)	Total pressure (N m-2)	Density (kg m-3)	Temperature (K)	Specific internal energy (J kg-1)	Specific entropy (J K-1 kg-1)	Specific heat at constant pressure (J K-1 kg-1)	First adiabatic exponent	Adiabatic temperature gradient	Mean molecular weight (see note below)	Electron number density (m-3)	Electron pressure (N m-2)	Radiation pressure (N m-2)	Radiative temperature gradient	Material temperature gradient	Convective velocity (m s-1)	Rosseland mean opacity (m2 kg-1)	Power per unit mass from all nuclear reactions, excluding neutrino losses (W kg-1)	Power per unit mass from PP chain (W kg-1)	Power per unit mass from CNO cycle (W kg-1)	Power per unit mass from triple-alpha reaction (W kg-1)	Power loss per unit mass in nuclear neutrinos (W kg-1)	Power loss per unit mass in non-nuclear neutrinos (W kg-1)	Power per unit mass from gravitational contraction (W kg-1)	Hydrogen mass fraction (all ionization stages)	Molecular hydrogen mass fraction	Singly-ionized hydrogen mass fraction	Helium mass fraction (all ionization stages)	Singly-ionized helium mass fraction	Doubly-ionized helium mass fraction	Carbon mass fraction	Nitrogren mass fraction	Oxygen mass fraction	Electron degeneracy parameter
	5.00000000E+00	2.70755209E+00	5.32552044E+02	8.85281213E+04	1.59507763E-08	3.98182811E+04	2.20957197E+13	3.07718013E+09	9.10800334E+08	1.31929588E+00	2.24215748E-01	6.40205193E-01	7.64876087E+15	4.18141883E+04	6.33971997E+03	3.23493979E-01	3.23493975E-01	7.31679685E+03	1.13157361E+01	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	1.00244120E-17	6.98476506E-01	2.80000912E-01	2.11599369E-01	6.97664583E-02	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.54340404E+01
	5.00000000E+00	2.70587570E+00	5.32552044E+02	1.27505230E+05	1.99428255E-08	4.47228936E+04	2.49381406E+13	3.11296559E+09	9.56246487E+08	1.32779296E+00	2.26844775E-01	6.29280057E-01	9.88872715E+15	6.07184070E+04	1.00892671E+04	3.07350529E-01	3.07350518E-01	9.90211234E+03	1.18793689E+01	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	5.13848251E-18	6.98480802E-01	2.80000912E-01	1.03183942E-01	1.78202332E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.53514292E+01
	5.00000000E+00	2.70378848E+00	5.32552044E+02	1.89592783E+05	2.60534240E-08	5.01068101E+04	2.73067201E+13	3.12461583E+09	7.46187831E+08	1.44330137E+00	2.80498220E-01	6.22616719E-01	1.31855261E+16	9.07077302E+04	1.58974353E+04	2.61563148E-01	2.61563148E-01	0.00000000E+00	1.07129629E+01	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	3.33703627E-18	6.98483149E-01	2.80000912E-01	3.51759310E-02	2.46215596E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.52342138E+01
	5.00000000E+00	2.70121577E+00	5.32552044E+02	2.92930434E+05	3.60514952E-08	5.57824669E+04	2.89730997E+13	3.10892905E+09	6.45147499E+08	1.52432588E+00	3.14234980E-01	6.20439312E-01	1.83678823E+16	1.40671750E+05	2.44191706E+04	2.27551542E-01	2.27551542E-01	0.00000000E+00	9.26560918E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	2.91922661E-18	6.98484240E-01	2.80000912E-01	1.26356937E-02	2.68756790E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.50636857E+01
	4.99999999E+00	2.69817714E+00	5.32552044E+02	4.65943978E+05	5.19094664E-08	6.18377630E+04	3.03934418E+13	3.08010677E+09	5.98816336E+08	1.55865897E+00	3.28675463E-01	6.19733717E-01	2.65047279E+16	2.25023156E+05	3.68769609E+04	2.12339397E-01	2.12339397E-01	0.00000000E+00	8.20880204E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	3.18643176E-18	6.98484665E-01	2.80000912E-01	5.29754826E-03	2.76095142E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.48515500E+01
	4.99999999E+00	2.69470504E+00	5.32552044E+02	7.54514699E+05	7.62625750E-08	6.85319856E+04	3.18336108E+13	3.04653953E+09	5.68936682E+08	1.57437814E+00	3.36130373E-01	6.19463968E-01	3.89715801E+16	3.66683550E+05	5.56305434E+04	2.10267126E-01	2.10267126E-01	0.00000000E+00	7.57259547E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	3.91757110E-18	6.98484778E-01	2.80000912E-01	2.48752224E-03	2.78905226E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.46202221E+01
	4.99999998E+00	2.69079595E+00	5.32552044E+02	1.23522917E+06	1.12920520E-07	7.61696819E+04	3.34494796E+13	3.01238207E+09	5.47424735E+08	1.58300307E+00	3.40804096E-01	6.19345640E-01	5.77254382E+16	6.03669853E+05	8.48923608E+04	2.14830267E-01	2.14830267E-01	0.00000000E+00	7.21181076E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	5.06854306E-18	6.98484757E-01	2.80000912E-01	1.25381245E-03	2.80138957E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.43858536E+01
	4.99999998E+00	2.68640498E+00	5.32552044E+02	2.03804804E+06	1.67496980E-07	8.50750960E+04	3.53538851E+13	2.97952261E+09	5.32374935E+08	1.58820445E+00	3.43903145E-01	6.19289023E-01	8.56400402E+16	1.00029807E+06	1.32114302E+05	2.23435943E-01	2.23435943E-01	0.00000000E+00	7.07483368E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	6.66283611E-18	6.98484684E-01	2.80000912E-01	6.63085247E-04	2.80729692E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.41572576E+01
	4.99999996E+00	2.68145465E+00	5.32552044E+02	3.38392449E+06	2.48007523E-07	9.56475396E+04	3.76643634E+13	2.94905974E+09	5.23357210E+08	1.59115311E+00	3.45748763E-01	6.19260283E-01	1.26815713E+17	1.66531734E+06	2.11074249E+05	2.35454528E-01	2.35454528E-01	0.00000000E+00	7.17380251E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	8.70675520E-18	6.98484609E-01	2.80000912E-01	3.63034111E-04	2.81029747E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.39403823E+01
	4.99999993E+00	2.67583334E+00	5.32552044E+02	5.64988685E+06	3.65558060E-07	1.08421190E+05	4.05341493E+13	2.92189806E+09	5.20691329E+08	1.59212207E+00	3.46338074E-01	6.19245036E-01	1.86932543E+17	2.78259007E+06	3.48495134E+05	2.50604924E-01	2.50604924E-01	0.00000000E+00	7.55047624E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	1.11164487E-17	6.98484573E-01	2.80000912E-01	2.03849049E-04	2.81188934E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.37404038E+01
