mass(M_sun),luminosity(log L/L_sun),radius(log R/R_sun),T_center(log T),age(yrs),density(g/cm^3),pressure(log P/ergs/cm^3),X,Y,tau_dyn(years),tau_kh(years)
1.43955363E+00,5.72047783E-01,1.48351290E-01,7.24310287E+00,0.00000000E+00,1.92605556E+00,1.72986414E+01,6.97907601E-01,2.81392784E-01,3.12737624E+03,3.11772519E+06
1.52596406E+00,6.85685373E-01,1.62405691E-01,7.26184583E+00,0.00000000E+00,1.91864613E+00,1.73098225E+01,6.97909640E-01,2.81392784E-01,3.18862543E+03,2.61083096E+06
1.61756134E+00,7.95206709E-01,1.68273427E-01,7.27820951E+00,0.00000000E+00,1.90568497E+00,1.73130824E+01,6.97913044E-01,2.81392784E-01,3.16043514E+03,2.24917159E+06
1.71465684E+00,9.01501382E-01,1.75158696E-01,7.29237124E+00,0.00000000E+00,1.88793183E+00,1.73093664E+01,6.97918446E-01,2.81392784E-01,3.14352238E+03,1.94749146E+06
1.81758057E+00,1.00545536E+00,1.83610634E-01,7.30468920E+00,0.00000000E+00,1.86636255E+00,1.73000152E+01,6.97926554E-01,2.81392784E-01,3.14366482E+03,1.68928358E+06
1.92668238E+00,1.10769233E+00,1.93447894E-01,7.31553190E+00,0.00000000E+00,1.84176434E+00,1.72861892E+01,6.97938070E-01,2.81392784E-01,3.15888560E+03,1.46642967E+06
2.04233313E+00,1.20864198E+00,2.04444700E-01,7.32519680E+00,0.00000000E+00,1.81478513E+00,1.72688372E+01,6.97953626E-01,2.81392784E-01,3.18691793E+03,1.27334971E+06
2.16492591E+00,1.30858375E+00,2.16367808E-01,7.33392643E+00,0.00000000E+00,1.78593727E+00,1.72487165E+01,6.97973724E-01,2.81392784E-01,3.22550198E+03,1.10589967E+06
2.29487742E+00,1.40764845E+00,2.29035201E-01,7.34189759E+00,0.00000000E+00,1.75554041E+00,1.72263255E+01,6.97998728E-01,2.81392784E-01,3.27295607E+03,9.60763608E+05
2.43262939E+00,1.50594320E+00,2.42301111E-01,7.34925065E+00,0.00000000E+00,1.72390305E+00,1.72021150E+01,6.98028737E-01,2.81392784E-01,3.32798081E+03,8.35004455E+05
2.57865003E+00,1.60350898E+00,2.56048231E-01,7.35609857E+00,0.00000000E+00,1.69123961E+00,1.71764139E+01,6.98063702E-01,2.81392784E-01,3.38955952E+03,7.26120685E+05
2.73343569E+00,1.70042512E+00,2.70182159E-01,7.36253165E+00,0.00000000E+00,1.65780430E+00,1.71495686E+01,6.98103391E-01,2.81392784E-01,3.45689294E+03,6.31817502E+05
2.89751249E+00,1.79669857E+00,2.84613913E-01,7.36863184E+00,0.00000000E+00,1.62375248E+00,1.71218184E+01,6.98147368E-01,2.81392784E-01,3.52919237E+03,5.50198445E+05
3.07143813E+00,1.89235869E+00,2.99268429E-01,7.37446779E+00,0.00000000E+00,1.58925645E+00,1.70934065E+01,6.98195066E-01,2.81392784E-01,3.60577713E+03,4.79554120E+05
3.25580382E+00,2.08191619E+00,3.29023010E-01,7.38555826E+00,0.00000000E+00,1.51948402E+00,1.70353719E+01,6.98299038E-01,2.81392784E-01,3.88125808E+03,3.25205936E+05
3.45123620E+00,2.17583142E+00,3.44028161E-01,7.39090241E+00,0.00000000E+00,1.48445248E+00,1.70060899E+01,6.98353908E-01,2.81392784E-01,3.97028809E+03,2.84361626E+05
3.65839959E+00,2.26916315E+00,3.59072475E-01,7.39615601E+00,0.00000000E+00,1.44944876E+00,1.69768047E+01,6.98409745E-01,2.81392784E-01,4.06190969E+03,2.48959019E+05
3.87799813E+00,2.36189254E+00,3.74139072E-01,7.40134097E+00,0.00000000E+00,1.41454430E+00,1.69476138E+01,6.98465846E-01,2.81392784E-01,4.15596547E+03,2.18255292E+05
4.11077826E+00,2.45400062E+00,3.89191117E-01,7.40647659E+00,0.00000000E+00,1.37980789E+00,1.69186103E+01,6.98521549E-01,2.81392784E-01,4.25198546E+03,1.91618560E+05
4.35753121E+00,2.54546356E+00,4.04213301E-01,7.41157773E+00,0.00000000E+00,1.34530231E+00,1.68898769E+01,6.98576228E-01,2.81392784E-01,4.34977526E+03,1.68494355E+05
4.61909572E+00,2.63625745E+00,4.19198966E-01,7.41665309E+00,0.00000000E+00,1.31107718E+00,1.68614778E+01,6.98629291E-01,2.81392784E-01,4.44925287E+03,1.48401644E+05
4.89636086E+00,2.72636206E+00,4.34133399E-01,7.42170830E+00,0.00000000E+00,1.27717713E+00,1.68334695E+01,6.98680185E-01,2.81392784E-01,4.55020026E+03,1.30928016E+05
5.19026908E+00,2.81575969E+00,4.49004800E-01,7.42675063E+00,0.00000000E+00,1.24365484E+00,1.68059184E+01,6.98728403E-01,2.81392784E-01,4.65242503E+03,1.15716812E+05
5.50181938E+00,2.90443308E+00,4.63814700E-01,7.43178484E+00,0.00000000E+00,1.21055637E+00,1.67788825E+01,6.98773518E-01,2.81392784E-01,4.75593605E+03,1.02458049E+05
5.83207076E+00,2.99236552E+00,4.78561370E-01,7.43681075E+00,0.00000000E+00,1.17791680E+00,1.67524038E+01,6.98815190E-01,2.81392784E-01,4.86068842E+03,9.08866069E+04
6.18214576E+00,3.07954463E+00,4.93242179E-01,7.44182596E+00,0.00000000E+00,1.14577029E+00,1.67265215E+01,6.98853199E-01,2.81392784E-01,4.96661813E+03,8.07742393E+04
6.55323431E+00,3.16593310E+00,5.07858808E-01,7.44682851E+00,0.00000000E+00,1.11412932E+00,1.67012542E+01,6.98887461E-01,2.81392784E-01,5.07373154E+03,7.19284490E+04
